,Node1,Node2,Strength
64,plink-boost_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_uncorrected,30.759324989643286
65,plink-boost_unfiltered_uncorrected,episcan-notCorrected_filtered_uncorrected,36.37967287003073
66,plink-boost_unfiltered_uncorrected,plink-boost_filtered_uncorrected,36.16362729202233
67,plink-boost_unfiltered_uncorrected,NNweights_filtered_uncorrected,36.15685099661031
68,plink-boost_unfiltered_uncorrected,lightGBM_filtered_uncorrected,41.559621574348036
69,plink-boost_unfiltered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,32.867732135572275
70,plink-boost_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_corrected,31.290559744938378
71,plink-boost_unfiltered_uncorrected,episcan_filtered_corrected,41.393249343521234
72,plink-boost_unfiltered_uncorrected,NNweights_filtered_corrected,41.117320745039834
73,plink-boost_unfiltered_uncorrected,plink-LR_filtered_corrected,33.94906314045802
74,plink-boost_unfiltered_uncorrected,lightGBM_filtered_corrected,35.86377451715248
75,plink-boost_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,36.80254650269759
76,plink-boost_unfiltered_uncorrected,epiGTBN-Episcan_filtered_corrected,35.19475746081567
77,plink-boost_unfiltered_uncorrected,mbmdr-gammaMaxt_filtered_corrected,36.46910841264263
78,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_uncorrected,34.47048967425955
79,NNweights_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected,27.450222023561974
80,NNweights_unfiltered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,34.69770481929748
81,NNweights_unfiltered_uncorrected,episcan_unfiltered_corrected,36.63127449770996
82,NNweights_unfiltered_uncorrected,plink-linearRegression_unfiltered_corrected,32.95788874409018
83,NNweights_unfiltered_uncorrected,NNweights_unfiltered_corrected,27.242999495474542
84,NNweights_unfiltered_uncorrected,lightGBM_unfiltered_corrected,38.03614464321425
85,NNweights_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,37.412826403448136
86,NNweights_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_corrected,26.950050495649716
87,NNweights_unfiltered_uncorrected,mbmdr-gammaMaxt_unfiltered_corrected,32.02302572147124
88,NNweights_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_uncorrected,28.31330931445212
89,NNweights_unfiltered_uncorrected,episcan-notCorrected_filtered_uncorrected,32.396393979845236
90,NNweights_unfiltered_uncorrected,plink-boost_filtered_uncorrected,32.88399620808579
91,NNweights_unfiltered_uncorrected,NNweights_filtered_uncorrected,32.34020257589132
92,NNweights_unfiltered_uncorrected,lightGBM_filtered_uncorrected,38.81871406461372
93,NNweights_unfiltered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,27.677841517222312
94,NNweights_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_corrected,27.421525391296573
95,NNweights_unfiltered_uncorrected,episcan_filtered_corrected,37.84936120291186
96,NNweights_unfiltered_uncorrected,NNweights_filtered_corrected,40.683419083486484
97,NNweights_unfiltered_uncorrected,plink-LR_filtered_corrected,29.592863677644512
98,NNweights_unfiltered_uncorrected,lightGBM_filtered_corrected,39.66593630715319
99,NNweights_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,33.118005629871384
100,NNweights_unfiltered_uncorrected,epiGTBN-Episcan_filtered_corrected,29.794126118127146
101,NNweights_unfiltered_uncorrected,mbmdr-gammaMaxt_filtered_corrected,29.941607694305528
102,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_uncorrected,31.552852302762954
103,lightGBM_unfiltered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,34.862093403353555
104,lightGBM_unfiltered_uncorrected,episcan_unfiltered_corrected,37.29244402303151
105,lightGBM_unfiltered_uncorrected,plink-linearRegression_unfiltered_corrected,39.117711506373624
106,lightGBM_unfiltered_uncorrected,NNweights_unfiltered_corrected,37.508196739103134
107,lightGBM_unfiltered_uncorrected,lightGBM_unfiltered_corrected,39.55468390623928
108,lightGBM_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,40.66181959850335
109,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_corrected,31.876393978576697
110,lightGBM_unfiltered_uncorrected,mbmdr-gammaMaxt_unfiltered_corrected,38.099813828747436
111,lightGBM_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_uncorrected,35.78517545237754
112,lightGBM_unfiltered_uncorrected,episcan-notCorrected_filtered_uncorrected,37.444097465769275
113,lightGBM_unfiltered_uncorrected,plink-boost_filtered_uncorrected,38.00125060315137
114,lightGBM_unfiltered_uncorrected,NNweights_filtered_uncorrected,35.13163965206798
115,lightGBM_unfiltered_uncorrected,lightGBM_filtered_uncorrected,37.66741283309454
116,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,34.24911677112548
117,lightGBM_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_corrected,33.78912666612594
118,lightGBM_unfiltered_uncorrected,episcan_filtered_corrected,38.41420833029758
119,lightGBM_unfiltered_uncorrected,NNweights_filtered_corrected,42.10998041520383
120,lightGBM_unfiltered_uncorrected,plink-LR_filtered_corrected,31.636789574347937
121,lightGBM_unfiltered_uncorrected,lightGBM_filtered_corrected,38.271828306961
122,lightGBM_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,35.20649112748548
123,lightGBM_unfiltered_uncorrected,epiGTBN-Episcan_filtered_corrected,33.64898512109761
124,lightGBM_unfiltered_uncorrected,mbmdr-gammaMaxt_filtered_corrected,34.85153226918479
125,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-ReliefF_unfiltered_corrected,30.979423826824526
126,epiGTBN-Episcan_unfiltered_uncorrected,episcan_unfiltered_corrected,33.29035699767758
127,epiGTBN-Episcan_unfiltered_uncorrected,plink-linearRegression_unfiltered_corrected,28.32333415459212
128,epiGTBN-Episcan_unfiltered_uncorrected,NNweights_unfiltered_corrected,29.53198044787737
129,epiGTBN-Episcan_unfiltered_uncorrected,lightGBM_unfiltered_corrected,32.361666755042926
130,epiGTBN-Episcan_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,35.00485261789357
131,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-Episcan_unfiltered_corrected,27.38617629383843
132,epiGTBN-Episcan_unfiltered_uncorrected,mbmdr-gammaMaxt_unfiltered_corrected,32.65308870260306
133,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_uncorrected,25.612601829006422
134,epiGTBN-Episcan_unfiltered_uncorrected,episcan-notCorrected_filtered_uncorrected,30.01979382764873
135,epiGTBN-Episcan_unfiltered_uncorrected,plink-boost_filtered_uncorrected,34.02762185149678
136,epiGTBN-Episcan_unfiltered_uncorrected,NNweights_filtered_uncorrected,31.27687599661757
137,epiGTBN-Episcan_unfiltered_uncorrected,lightGBM_filtered_uncorrected,35.46677200511625
138,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-Episcan_filtered_uncorrected,27.00711577558926
139,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-ReliefF_filtered_corrected,27.99951654530675
140,epiGTBN-Episcan_unfiltered_uncorrected,episcan_filtered_corrected,37.88119142887376
141,epiGTBN-Episcan_unfiltered_uncorrected,NNweights_filtered_corrected,38.697245962458354
142,epiGTBN-Episcan_unfiltered_uncorrected,plink-LR_filtered_corrected,29.441068462255128
143,epiGTBN-Episcan_unfiltered_uncorrected,lightGBM_filtered_corrected,34.08723113200334
144,epiGTBN-Episcan_unfiltered_uncorrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,32.1072348792654
145,epiGTBN-Episcan_unfiltered_uncorrected,epiGTBN-Episcan_filtered_corrected,29.560448615542377
146,epiGTBN-Episcan_unfiltered_uncorrected,mbmdr-gammaMaxt_filtered_corrected,29.234054535684148
147,epiGTBN-ReliefF_unfiltered_corrected,episcan_unfiltered_corrected,35.85060851674289
148,epiGTBN-ReliefF_unfiltered_corrected,plink-linearRegression_unfiltered_corrected,35.19894194758905
149,epiGTBN-ReliefF_unfiltered_corrected,NNweights_unfiltered_corrected,36.49091977445605
150,epiGTBN-ReliefF_unfiltered_corrected,lightGBM_unfiltered_corrected,37.018183829994456
151,epiGTBN-ReliefF_unfiltered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,32.71768203931687
152,epiGTBN-ReliefF_unfiltered_corrected,epiGTBN-Episcan_unfiltered_corrected,32.462923371526905
153,epiGTBN-ReliefF_unfiltered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,35.92383464173809
154,epiGTBN-ReliefF_unfiltered_corrected,epiGTBN-ReliefF_filtered_uncorrected,30.450248114654926
