,Node1,Node2,Strength
0,epiGTBN-ReliefF_filtered_corrected,casmap-region-gwas-rec_filtered_corrected,0
1,epiGTBN-ReliefF_filtered_corrected,episcan_filtered_corrected,0
2,epiGTBN-ReliefF_filtered_corrected,antEpiSeeker_filtered_corrected,0
3,epiGTBN-ReliefF_filtered_corrected,NNweights_filtered_corrected,0
4,epiGTBN-ReliefF_filtered_corrected,plink-linearRegression-Hector_filtered_corrected,0
5,epiGTBN-ReliefF_filtered_corrected,epiHSIC_filtered_corrected,0
6,epiGTBN-ReliefF_filtered_corrected,plink-LR_filtered_corrected,5
7,epiGTBN-ReliefF_filtered_corrected,lightGBM_filtered_corrected,0
8,epiGTBN-ReliefF_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_filtered_corrected,0
9,epiGTBN-ReliefF_filtered_corrected,epiGTBN-Episcan_filtered_corrected,8
10,epiGTBN-ReliefF_filtered_corrected,mbmdr-gammaMaxt_filtered_corrected,1
11,epiGTBN-ReliefF_filtered_corrected,epiGTBN-ReliefF_filtered_uncorrected,8
12,epiGTBN-ReliefF_filtered_corrected,episcan-notCorrected_filtered_uncorrected,0
13,epiGTBN-ReliefF_filtered_corrected,plink-boost_filtered_uncorrected,0
14,epiGTBN-ReliefF_filtered_corrected,NNweights_filtered_uncorrected,0
15,epiGTBN-ReliefF_filtered_corrected,lightGBM_filtered_uncorrected,0
16,epiGTBN-ReliefF_filtered_corrected,epiGTBN-Episcan_filtered_uncorrected,10
17,epiGTBN-ReliefF_filtered_corrected,epiGTBN-ReliefF_unfiltered_corrected,1
18,epiGTBN-ReliefF_filtered_corrected,episcan_unfiltered_corrected,0
19,epiGTBN-ReliefF_filtered_corrected,antEpiSeeker_unfiltered_corrected,0
20,epiGTBN-ReliefF_filtered_corrected,plink-linearRegression_unfiltered_corrected,4
21,epiGTBN-ReliefF_filtered_corrected,NNweights_unfiltered_corrected,0
22,epiGTBN-ReliefF_filtered_corrected,epiHSIC_unfiltered_corrected,0
23,epiGTBN-ReliefF_filtered_corrected,lightGBM_unfiltered_corrected,0
24,epiGTBN-ReliefF_filtered_corrected,mbmdr-gammaMaxt-lowerOrder_unfiltered_corrected,0
25,epiGTBN-ReliefF_filtered_corrected,epiGTBN-Episcan_unfiltered_corrected,10
26,epiGTBN-ReliefF_filtered_corrected,mbmdr-gammaMaxt_unfiltered_corrected,1
27,epiGTBN-ReliefF_filtered_corrected,epiGTBN-ReliefF_unfiltered_uncorrected,3
28,epiGTBN-ReliefF_filtered_corrected,episcan_unfiltered_uncorrected,4
29,epiGTBN-ReliefF_filtered_corrected,plink-boost_unfiltered_uncorrected,0
30,epiGTBN-ReliefF_filtered_corrected,NNweights_unfiltered_uncorrected,0
31,epiGTBN-ReliefF_filtered_corrected,lightGBM_unfiltered_uncorrected,0
32,epiGTBN-ReliefF_filtered_corrected,epiGTBN-Episcan_unfiltered_uncorrected,9
33,casmap-region-gwas-rec_filtered_corrected,episcan_filtered_corrected,2
34,casmap-region-gwas-rec_filtered_corrected,antEpiSeeker_filtered_corrected,0
35,casmap-region-gwas-rec_filtered_corrected,NNweights_filtered_corrected,0
