,auroc_ori,auroc_1d,auroc_2d,auroc_12d,auroc_NN,auroc_NN_random_causal,auroc_NN_dense,auroc_2d_test,auroc_3d_test
hibachi-res_BernoulliNB_DecisionTreeClassifier-s31077_0.104.txt,0.543981481481482,0.522393317230274,0.5,0.522393317230274,0.6102941176470589,0.5575417667066827,0.6178533913565426,0.5,0.4659822866344605
hibachi-res_BernoulliNB_DecisionTreeClassifier-s31228_0.102.txt,0.594141414141414,0.572878787878788,0.5,0.572878787878788,0.6158067542213883,0.6320168855534709,0.6356691682301439,0.5,0.5063636363636363
hibachi-res_BernoulliNB_DecisionTreeClassifier-s690_0.098.txt,0.581923731358222,0.5,0.5,0.5,0.6301229444156233,0.6315699008069204,0.6373764774268552,0.5,0.5631067961165049
hibachi-res_BernoulliNB_DecisionTreeClassifier-s81895_0.096.txt,0.508050805080508,0.5,0.5,0.5,0.5836567728548303,0.5710066937918362,0.5744504653154081,0.5,0.526002600260026
hibachi-res_BernoulliNB_DecisionTreeClassifier-s90408_0.072.txt,0.56565,0.54455,0.5,0.54455,0.618040625,0.5807500000000001,0.6152500000000001,0.5,0.43765000000000004
hibachi-res_BernoulliNB_ExtraTreesClassifier-s36230_0.078.txt,0.477165036798064,0.5,0.5,0.5,0.5517418192960186,0.5471957678574779,0.5647296443824686,0.5,0.49148099606815204
hibachi-res_BernoulliNB_ExtraTreesClassifier-s37061_0.045.txt,0.646940418679549,0.641505636070854,0.504579307568438,0.617401368760064,0.5565538715486195,0.6598264305722289,0.6820540716286515,0.5045793075684379,0.5372383252818036
hibachi-res_BernoulliNB_ExtraTreesClassifier-s43184_0.063.txt,0.517894736842105,0.495789473684211,0.5,0.495789473684211,0.5744210032817628,0.5737021409595249,0.61846538521644,0.5,0.5691228070175438
hibachi-res_BernoulliNB_ExtraTreesClassifier-s59906_0.079.txt,0.480350877192982,0.562606516290727,0.5,0.562606516290727,0.5780121894045944,0.5708329426472887,0.6013377090170339,0.5,0.46401002506265665
hibachi-res_BernoulliNB_ExtraTreesClassifier-s6078_0.058.txt,0.478020875150542,0.497290244881574,0.5,0.497290244881574,0.5979189067540196,0.5473168963016679,0.5889325098147082,0.5,0.47711762344439984
hibachi-res_BernoulliNB_GaussianNB-s23944_0.167.txt,0.492451690821256,0.571557971014493,0.706421095008052,0.763083735909823,0.605532838135254,0.5384591336534614,0.6225427671068428,0.7064210950080516,0.6722020933977456
hibachi-res_BernoulliNB_GaussianNB-s2559_0.066.txt,0.735087719298246,0.855087719298246,0.784310776942356,0.946115288220551,0.8133177058915456,0.8552961400218784,0.9012845757149556,0.7843107769423558,0.6769423558897243
hibachi-res_BernoulliNB_GaussianNB-s43757_0.077.txt,0.48085619535725,0.5,0.87473620741634,0.87473620741634,0.5675238041650255,0.5136541815931129,0.5640789991935029,0.8747362074163401,0.4620641141593809
hibachi-res_BernoulliNB_GaussianNB-s47810_0.065.txt,0.769457783113245,0.790816326530612,0.5,0.790816326530612,0.7991793544838621,0.7409560239005976,0.8281769544238606,0.5,0.5002501000400159
hibachi-res_BernoulliNB_GaussianNB-s78896_0.076.txt,0.760165056360709,0.809078099838969,0.5,0.809078099838969,0.7701299269707882,0.8024459783913566,0.8346776210484194,0.5,0.5320048309178744
hibachi-res_BernoulliNB_GradientBoostingClassifier-s15237_0.060.txt,0.531778600740667,0.560454408968071,0.5,0.560454408968071,0.6113531386140469,0.6262414760830297,0.629029132888725,0.5,0.5271744570113102
hibachi-res_BernoulliNB_GradientBoostingClassifier-s17870_0.071.txt,0.629362824675325,0.62596387987013,0.617694805194805,0.671672077922078,0.561508482634371,0.6451931738564709,0.6476203583224902,0.6176948051948052,0.5558035714285714
hibachi-res_BernoulliNB_GradientBoostingClassifier-s21758_0.069.txt,0.502207948615014,0.5,0.5,0.5,0.5630860693656072,0.5717005076142132,0.583521917431422,0.5,0.5368325973504616
hibachi-res_BernoulliNB_GradientBoostingClassifier-s57961_0.096.txt,0.680500457735734,0.637422439222866,0.5,0.637422439222866,0.6279695428296137,0.6143113663807396,0.6284262752532362,0.5,0.5274132845081884
hibachi-res_BernoulliNB_GradientBoostingClassifier-s59164_0.082.txt,0.534763905562225,0.5,0.5,0.5,0.6251625040626015,0.6007243931098278,0.6109308982724568,0.5,0.5174569827931172
hibachi-res_BernoulliNB_KNeighborsClassifier-s45413_0.100.txt,0.6263,0.64,0.63235,0.6844,0.68705625,0.6763625,0.6883062499999999,0.63235,0.597
hibachi-res_BernoulliNB_KNeighborsClassifier-s59574_0.107.txt,0.690016103059581,0.63768115942029,0.5,0.63768115942029,0.6812912665066027,0.6573473139255702,0.6674263455382152,0.5,0.4618055555555555
hibachi-res_BernoulliNB_KNeighborsClassifier-s61134_0.118.txt,0.571314182764488,0.557952156941247,0.528375537984186,0.55079571614453,0.6659280834546943,0.6055121850604097,0.6529398528667237,0.5283755379841857,0.39725753177860074
hibachi-res_BernoulliNB_KNeighborsClassifier-s79249_0.075.txt,0.661353383458647,0.661152882205514,0.5,0.661152882205514,0.6322175339896858,0.6365557118299735,0.6680043756837006,0.5,0.41503759398496237
hibachi-res_BernoulliNB_KNeighborsClassifier-s84773_0.112.txt,0.635266426282051,0.620592948717949,0.481770833333333,0.593399439102564,0.6109798479847984,0.6527340234023402,0.6720797079707971,0.48177083333333337,0.4655949519230769
hibachi-res_BernoulliNB_LogisticRegression-s41294_0.310.txt,0.388555422168868,0.959783913565426,0.862194877951181,0.983043217286915,0.751537538438461,0.5180192004800119,0.972230555763894,0.8621948779511805,0.8957583033213283
